 format: day,hour,forecast,value  location:53_114 Start : 20180101 
 5,1400,+22,336.000000 
 5,1400,+25,328.000000 
 5,1400,+28,2.000000 
 5,1400,+31,28.000000 
 5,1400,+34,34.000000 
 5,1400,+37,79.000000 
 5,1400,+40,297.000000 
 5,1400,+43,347.000000 
 5,1400,+46,45.000000 
 5,1400,+49,74.000000 
 5,1700,+4,317.000000 
 5,1700,+7,335.000000 
 5,1700,+10,333.000000 
 5,1700,+13,327.000000 
 5,1700,+16,326.000000 
 5,1700,+19,336.000000 
 5,1700,+22,328.000000 
 5,1700,+25,2.000000 
 5,1700,+28,28.000000 
 5,1700,+31,34.000000 
 5,1700,+34,79.000000 
 5,1700,+37,297.000000 
 5,1700,+40,347.000000 
 5,1700,+43,45.000000 
 5,1700,+46,74.000000 
 5,2000,+4,330.000000 
 5,2000,+7,325.000000 
 5,2000,+10,333.000000 
 5,2000,+13,327.000000 
 5,2000,+16,341.000000 
 5,2000,+19,329.000000 
 5,2000,+22,351.000000 
 5,2000,+25,25.000000 
 5,2000,+28,60.000000 
 5,2000,+31,14.000000 
 5,2000,+34,336.000000 
 5,2000,+37,19.000000 
 5,2000,+40,50.000000 
 5,2000,+43,81.000000 
 5,2000,+46,51.000000 
 5,2000,+49,54.000000 
 5,2000,+52,16.000000 
 5,2000,+55,12.000000 
 5,2000,+58,353.000000 
 5,2000,+61,351.000000 
 5,2000,+64,239.000000 
 5,2000,+67,202.000000 
 5,2300,+4,325.000000 
 5,2300,+7,333.000000 
 5,2300,+10,327.000000 
 5,2300,+13,341.000000 
 5,2300,+16,329.000000 
 5,2300,+19,351.000000 
 5,2300,+22,25.000000 
 5,2300,+25,60.000000 
 5,2300,+28,14.000000 
 5,2300,+31,336.000000 
 5,2300,+34,19.000000 
 5,2300,+37,50.000000 
 5,2300,+40,81.000000 
 5,2300,+43,51.000000 
 5,2300,+46,54.000000 
 5,2300,+49,16.000000 
 5,2300,+52,12.000000 
 5,2300,+55,353.000000 
 5,2300,+58,351.000000 
 5,2300,+61,239.000000 
 5,2300,+64,202.000000 
 6,0200,+4,333.000000 
