 format: day,hour,forecast,value  location:102_83 Start : 20180101 
 19,1400,+37,330.000000 
 19,1400,+40,318.000000 
 19,1400,+43,332.000000 
 19,1400,+46,297.000000 
 19,1400,+49,297.000000 
 19,1700,+4,304.000000 
 19,1700,+7,322.000000 
 19,1700,+10,330.000000 
 19,1700,+13,329.000000 
 19,1700,+16,309.000000 
 19,1700,+19,282.000000 
 19,1700,+22,286.000000 
 19,1700,+25,297.000000 
 19,1700,+28,297.000000 
 19,1700,+31,293.000000 
 19,1700,+34,330.000000 
 19,1700,+37,318.000000 
 19,1700,+40,332.000000 
 19,1700,+43,297.000000 
 19,1700,+46,297.000000 
 19,2000,+4,313.000000 
 19,2000,+7,322.000000 
 19,2000,+10,322.000000 
 19,2000,+13,313.000000 
 19,2000,+16,297.000000 
 19,2000,+19,287.000000 
 19,2000,+22,315.000000 
 19,2000,+25,308.000000 
 19,2000,+28,302.000000 
 19,2000,+31,357.000000 
 19,2000,+34,63.000000 
 19,2000,+37,67.000000 
 19,2000,+40,72.000000 
 19,2000,+43,324.000000 
 19,2000,+46,306.000000 
 19,2000,+49,300.000000 
 19,2000,+52,302.000000 
 19,2000,+55,254.000000 
 19,2000,+58,288.000000 
 19,2000,+61,263.000000 
 19,2000,+64,286.000000 
 19,2000,+67,270.000000 
 19,2300,+4,322.000000 
 19,2300,+7,322.000000 
 19,2300,+10,313.000000 
 19,2300,+13,297.000000 
 19,2300,+16,287.000000 
 19,2300,+19,315.000000 
 19,2300,+22,308.000000 
 19,2300,+25,302.000000 
 19,2300,+28,357.000000 
 19,2300,+31,63.000000 
 19,2300,+34,67.000000 
 19,2300,+37,72.000000 
 19,2300,+40,324.000000 
 19,2300,+43,306.000000 
 19,2300,+46,300.000000 
 19,2300,+49,302.000000 
 19,2300,+52,254.000000 
 19,2300,+55,288.000000 
 19,2300,+58,263.000000 
 19,2300,+61,286.000000 
 19,2300,+64,270.000000 
 20,0200,+4,322.000000 
 20,0200,+7,313.000000 
 20,0200,+10,297.000000 
 20,0200,+13,287.000000 
 20,0200,+16,315.000000 
 20,0200,+19,308.000000 
 20,0200,+22,302.000000 
 20,0200,+25,357.000000 
 20,0200,+28,63.000000 
 20,0200,+31,67.000000 
 20,0200,+34,72.000000 
 20,0200,+37,324.000000 
 20,0200,+40,306.000000 
 20,0200,+43,300.000000 
 20,0200,+46,302.000000 
 20,0200,+49,254.000000 
