Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-03-06,0.0599667107045882,0.0599667107045882,0.059182263910770416,0.059182263910770416,160373,0.0,0.0
1962-03-07,0.058790672570466995,0.058790672570466995,0.058790672570466995,0.058790672570466995,120280,0.0,0.0
1962-03-08,0.0587906397629771,0.05977056547999382,0.05859452817452437,0.05977056547999382,360839,0.0,0.0
1962-03-09,0.059770596515416496,0.06035830404384035,0.05957448482513428,0.05957448482513428,521212,0.0,0.0
1962-03-12,0.05977061383610236,0.060750540345907204,0.05977061383610236,0.06075054034590721,400933,0.0,0.0
1962-03-13,0.06090742138221397,0.0618898831307888,0.06090742138221397,0.0618898831307888,360839,0.000249,0.0
1962-03-14,0.06188984504667947,0.06247906537273486,0.061299990862607956,0.061299990862607956,601399,0.0,0.0
1962-03-15,0.06130004817023809,0.06208589198755772,0.06130004817023809,0.061693284660577774,280653,0.0,0.0
1962-03-16,0.06169328466057778,0.06188990290574762,0.061496666415407936,0.061693284660577774,120280,0.0,0.0
1962-03-19,0.06169328466057778,0.06228250553747861,0.06169328466057778,0.061693284660577774,561306,0.0,0.0
1962-03-20,0.06130006070583518,0.06130006070583518,0.060907453298568726,0.060907453298568726,240560,0.0,0.0
1962-03-21,0.060710791404129966,0.060710791404129966,0.05992495268583298,0.05992495268583298,320746,0.0,0.0
1962-03-22,0.05972837520475377,0.05972837520475377,0.0593351386487484,0.0593351386487484,120280,0.0,0.0
1962-03-23,0.0593351386487484,0.06012161176075914,0.0593351386487484,0.0593351386487484,441026,0.0,0.0
1962-03-26,0.05933512921376559,0.059728365707241736,0.0589425265789032,0.0589425265789032,200466,0.0,0.0
1962-03-27,0.05854926512673991,0.05854926512673991,0.058156657963991165,0.058156657963991165,240560,0.0,0.0
1962-03-28,0.057960075582583294,0.057960075582583294,0.0575674681774593,0.05776345729827881,240560,0.0,0.0
1962-03-29,0.05815668020593051,0.05874590575695038,0.05815668020593051,0.05874590575695038,320746,0.0,0.0
1962-03-30,0.05874590575695038,0.0589425239950694,0.05835329844404953,0.05874590575695038,441026,0.0,0.0
1962-04-02,0.058745883289662564,0.05933510392008697,0.058156657963991165,0.058156657963991165,280653,0.0,0.0
1962-04-03,0.05815669386688778,0.05874591955631626,0.05776345729827881,0.05776345729827881,320746,0.0,0.0
1962-04-04,0.058156657963991165,0.058156657963991165,0.058156657963991165,0.058156657963991165,160373,0.0,0.0
1962-04-05,0.05815669386688778,0.058353312151192265,0.05776345729827881,0.05776345729827881,320746,0.0,0.0
1962-04-06,0.05835328251123428,0.05933511041182734,0.05835328251123428,0.05835328251123428,400933,0.0,0.0
1962-04-09,0.0583533478483475,0.05874595549364582,0.0583533478483475,0.05854933708906174,400933,0.0,0.0
1962-04-10,0.05854927153250315,0.05874588971693742,0.05835328251123428,0.05835328251123428,120280,0.0,0.0
1962-04-11,0.058353312151192265,0.058942537840620736,0.05776345729827881,0.05776345729827881,320746,0.0,0.0
1962-04-12,0.05678097002556126,0.05678097002556126,0.05501266941428185,0.055012669414281845,962238,0.0,0.0
1962-04-13,0.05501270578187056,0.05501270578187056,0.05344102231301515,0.05462009832262993,1202798,0.0,0.0
1962-04-16,0.05481670773493901,0.055405933409929276,0.05481670773493901,0.055405933409929276,601399,0.0,0.0
1962-04-17,0.055995147920243,0.05678099178392702,0.055995147920243,0.056585002690553665,641492,0.0,0.0
1962-04-18,0.05697760132446847,0.05776344037268843,0.05697760132446847,0.05737083777785301,641492,0.0,0.0
1962-04-19,0.05737083777785301,0.05835329505276524,0.05737083777785301,0.05737083777785301,441026,0.0,0.0
1962-04-23,0.058156657963991165,0.05835327612691382,0.058156657963991165,0.058156657963991165,601399,0.0,0.0
1962-04-24,0.05835330100205374,0.05933512921376559,0.05835330100205374,0.0589425265789032,521212,0.0,0.0
1962-04-25,0.0589425239950694,0.059531744850840486,0.05874590575695038,0.05874590575695038,922145,0.0,0.0
1962-04-26,0.05854928411615689,0.05854928411615689,0.05737083777785301,0.05737083777785301,400933,0.0,0.0
1962-04-27,0.057370837512762625,0.05776344010578396,0.05619175732135773,0.05619175732135773,360839,0.0,0.0
1962-04-30,0.05520927395374012,0.05520927395374012,0.054030828177928925,0.054030828177928925,441026,0.0,0.0
1962-05-01,0.05403087724723366,0.05501270578187056,0.05383425893582749,0.05462009832262993,481119,0.0,0.0
1962-05-02,0.054620062214584646,0.05540590577713483,0.05422682585173167,0.055012669414281845,320746,0.0,0.0
1962-05-03,0.05501270578187056,0.05501270578187056,0.05442348001122376,0.05462009832262993,360839,0.0,0.0
1962-05-04,0.05462009832262993,0.05501270578187056,0.05462009832262993,0.05462009832262993,240560,0.0,0.0
1962-05-07,0.05422684351592743,0.05422684351592743,0.05383424088358879,0.05383424088358879,320746,0.0,0.0
1962-05-08,0.053834259776829985,0.054620099175908855,0.052655179053545,0.052655179053545,521212,0.0,0.0
1962-05-09,0.051869356960764376,0.051869356960764376,0.05069027584407699,0.0510835126042366,841958,0.0,0.0
1962-05-10,0.05069023164696689,0.05069023164696689,0.050297629088163376,0.050297629088163376,561306,0.0,0.0
1962-05-11,0.05029764015562361,0.051083479304637136,0.047940113318084794,0.049118559807538986,801865,0.0,0.0
1962-05-14,0.049118554826787425,0.051869317889213555,0.049118554826787425,0.05186931788921356,721679,0.0,0.0
1962-05-15,0.051869319332936856,0.0522625558078289,0.051869319332936856,0.0522625558078289,360839,0.0,0.0
1962-05-16,0.05186932527982311,0.05186932527982311,0.050690244883298874,0.050690244883298874,280653,0.0,0.0
1962-05-17,0.05069024904176506,0.05069024904176506,0.0495118024072213,0.04990440979599953,280653,0.0,0.0
1962-05-18,0.0499043926708689,0.050297629088163376,0.0499043926708689,0.050297629088163376,360839,0.0,0.0
1962-05-21,0.050297629088163376,0.050297629088163376,0.0499043926708689,0.050297629088163376,120280,0.0,0.0
1962-05-22,0.050297629088163376,0.05186931173560744,0.050297629088163376,0.050297629088163376,681585,0.0,0.0
1962-05-23,0.05029764336358561,0.05029764336358561,0.04794011637568474,0.04794011637568474,761772,0.0,0.0
1962-05-24,0.04833269864320755,0.04951177375897987,0.04833269864320755,0.04833269864320755,601399,0.0,0.0
1962-05-25,0.04892257541425842,0.04951179631136096,0.04892257541425842,0.049118559807538986,1202798,0.0,0.0
1962-05-28,0.04911854655164119,0.050297626581520864,0.04872594401240349,0.04872594401240349,3808860,0.0,0.0
1962-05-29,0.046761033703549226,0.046761033703549226,0.04459949613767041,0.045189350843429565,4410258,0.0,0.0
1962-05-31,0.050297629088163376,0.05186931173560744,0.050297629088163376,0.050297629088163376,2886715,0.0,0.0
1962-06-01,0.050297629088163376,0.050297629088163376,0.04911854899952283,0.050297629088163376,801865,0.0,0.0
1962-06-04,0.05010103342601411,0.05010103342601411,0.04715428501367569,0.04715428501367569,681585,0.0,0.0
1962-06-05,0.047154262514242,0.04872594511905504,0.046761026107613846,0.04852932691574097,1964570,0.0,0.0
1962-06-06,0.04852932930917352,0.050101011991500854,0.048136092883151224,0.050101011991500854,481119,0.0,0.0
1962-06-07,0.050101008382672334,0.050690229120758566,0.04833270761470643,0.04872594401240349,721679,0.0,0.0
1962-06-08,0.048725947556195345,0.049904393813322935,0.048725947556195345,0.04951178655028343,681585,0.0,0.0
1962-06-11,0.04872594401240349,0.04872594401240349,0.04813608941585789,0.04872594401240349,280653,0.0,0.0
1962-06-12,0.048094977945270144,0.048094977945270144,0.047109346836805344,0.047109346836805344,240560,0.000249,0.0
1962-06-13,0.047109359174402024,0.047109359174402024,0.04572921618819237,0.04572921618819237,721679,0.0,0.0
1962-06-14,0.04494083936891256,0.04494083936891256,0.04159006476402283,0.04159006476402283,1523544,0.0,0.0
1962-06-15,0.041590062940225415,0.04513809084892273,0.04099893378395965,0.04513809084892273,1523544,0.0,0.0
1962-06-18,0.04513809173079535,0.04572921618819237,0.04316682428718868,0.04572921618819237,681585,0.0,0.0
1962-06-19,0.04572921618819237,0.046320976551988524,0.044546962562980574,0.04572921618819237,400933,0.0,0.0
1962-06-20,0.04572921082180739,0.04572921082180739,0.044546957335334654,0.04494083300232887,160373,0.0,0.0
1962-06-21,0.04415246471762657,0.04415246471762657,0.043561340138880494,0.04415246471762657,1042425,0.0,0.0
1962-06-22,0.043955196331324685,0.043955196331324685,0.042970191687345505,0.042970191687345505,521212,0.0,0.0
1962-06-25,0.04257568541011359,0.04257568541011359,0.041196178644895554,0.041196178644895554,280653,0.0,0.0
1962-06-26,0.041196178644895554,0.04218118330129897,0.041196178644895554,0.041196178644895554,561306,0.0,0.0
